"","Symbol","Min","Max","Average","Standard_Deviation","Covariance"
"1","20MICRONS",25.45,62.7,37.1087878787879,7.23267219710557,51.4307505827506
"2","3IINFOTECH",3.7,8,4.83737373737374,0.76965288177086,0.583600631824316
"3","3MINDIA",9521.5,19366.4,12796.3464646465,1639.10194851761,2647642.54989342
"4","63MOONS",54.9,159.65,84.5395744680851,23.6995313485928,555.540044599018
"5","8KMILES",369.5,2483.7,1128.67202020202,650.932207938694,424612.60638939
"6","A2ZINFRA",17.4,51.7,36.8345454545455,7.85567360826103,61.1114045822598
"7","AARTIDRUGS",444.35,676.5,541.317878787879,58.9180696022306,3401.032726874
"8","AARTIIND",424.4,1133.9,717.006913827655,169.380072775721,28638.5038159552
"9","AARVEEDEN",29.4,103.7,65.0402834008097,15.0157289649734,224.086826235311
"10","ABAN",147.35,279,207.496868686869,25.4279878497289,634.387574888562
"11","ABB",964.5,1601.95,1253.36797979798,145.328124585387,20925.9537414632
"12","ABBOTINDIA",4022.5,5930.9,4628.17656565657,339.997889113362,116730.523561823
"13","ABFRL",127.8,222.3,155.264884696017,15.1848342020939,228.246630881913
"14","ABGSHIP",9.95,73.3,27.8123232323232,14.6430677404284,216.677539034065
"15","ABIRLANUVO",697.35,2341.05,1298.44139784946,335.259142527352,111839.059993551
"16","ABMINTLTD",34.3,213.6,83.4009345794393,41.2344399341272,1702.20089947786
"17","ACC",1190.9,1851.25,1541.5296969697,175.379792641319,30609.603321617
"18","ACCELYA",817.3,1698.3,1288.75595959596,209.795567111399,43714.4849796957
"19","ACE",34.1,151.9,58.4187878787879,24.8313850346354,609.832550208563
"20","ADANIENT",58.75,166.35,97.5876767676768,29.4771229770583,859.613880157854
"21","ADANIPORTS",171.55,437.55,300.268181818182,72.0120580231957,5162.72179471844
"22","ADANIPOWER",23.9,44.3,31.0166666666667,3.91038273285479,14.9229132928475
"23","ADANITRANS",26.55,235.8,81.1826262626263,57.4148730111489,3289.9310219196
"24","ADFFOODS",65.8,333.55,168.572929292929,74.4856032777669,5526.37437189711
"25","ADHUNIK",3.6,16.05,7.46868686868687,2.49955042373196,6.30718971087392
"26","ADHUNIKIND",35.9,177.65,98.837134502924,22.5969201825276,517.088017269469
"27","ADLABS",53.65,140.3,81.5179797979798,13.3799535819016,178.031939342821
"28","ADORWELD",235.6,617.55,336.730606060606,83.8871955458938,6978.87262820513
"29","ADSL",19.25,62.35,31.6860606060606,7.29719856653198,53.2679921175316
"30","ADVANIHOTR",43.6,85.3,56.2663244353183,7.06417346548711,48.7736320886252
"31","ADVENZYMES",248.6,2352.75,1178.9046875,786.83190951514,619570.825924368
"32","AEGISCHEM",82.15,286.8,162.881212121212,48.6789232769407,2356.4600608821
"33","AFL",31.25,90.45,57.7739436619718,10.5285148692545,110.724704391052
"34","AGARIND",110.35,787.6,383.10892494929,217.459396783518,46878.1846614802
"35","AGCNET",55.3,159.95,92.7687878787879,22.8561555539405,512.774476321924
"36","AGRITECH",7.15,140.5,48.3309168443497,37.2244918314047,1405.33555855111
"37","AGROPHOS",17.45,32.25,23.1061983471074,3.25797502370736,10.0274544768698
"38","AHLEAST",127.55,296.85,217.301428571429,50.2173063887411,2518.36665089103
"39","AHLUCONT",212.6,404.9,296.596464646465,37.4049550267461,1374.67146495318
"40","AHLWEST",111.55,307.25,180.420366598778,43.2036392159038,1845.37710239411
"41","AIAENG",733.75,1670.45,1243.08181818182,231.892987484445,53620.4127212919
"42","AIFL",233.25,540.15,373.040707070707,81.9195456408363,6675.05580982906
"43","AIRAN",53.85,211.45,149.323463687151,45.1646277928404,2061.58938986881
"44","AJANTPHARM",1130.9,2093.05,1565.17878787879,252.266550225947,63378.3295928414
"45","AJMERA",97.5,355.8,186.151515151515,55.1850348333859,3022.63120000613
"46","AKASH",67,144,93.7161971830986,21.0335602734403,454.49164044551
"47","AKSHARCHEM",647.5,940.2,767.766578947368,63.742780492806,3904.18935018101
"48","AKSHOPTFBR",12.25,36.85,21.2959595959596,5.69543231275146,32.176132427514
"49","AKZOINDIA",1240.8,2036.95,1614.59333333333,210.098741597011,44331.9553788799
"50","ALANKIT",17.95,148.05,67.6310240963855,41.5669712022054,1724.68396502509
"51","ALBERTDAVD",277.65,397.7,324.488571428571,24.1762390191303,557.75378125
"52","ALBK",41.3,89.95,68.3345454545454,10.251491870568,104.358477732794
"53","ALCHEM",10.7,33.05,20.6139393939394,4.82267938744141,22.9846374371243
"54","ALEMBICLTD",32.95,60.85,39.2428282828283,3.80604862746971,13.9342003537398
"55","ALICON",251.55,707.2,415.891212121212,109.350261660631,11822.105497669
"56","ALKALI",36.7,102.55,65.5822222222222,13.4106484939186,180.734637651822
"57","ALKEM",1186.45,2211.3,1688.91078629032,269.34921845892,71939.0719628645
"58","ALKYLAMINE",286.2,669.5,384.922323232323,90.2700345704642,8121.56190168895
"59","ALLCARGO",136.7,212.6,173.383232323232,12.1741476127792,142.931795761256
"60","ALLSEC",93.5,507.95,303.428888888889,109.564450528505,12020.4790526316
"61","ALMONDZ",9,38.05,16.6801619433198,6.1467921657639,37.7916173596341
"62","ALOKTEXT",2.35,6.65,3.58888888888889,0.753633424040998,0.573532950967162
"63","ALPA",27.25,77.9,36.0656565656566,8.43896593642527,71.7345559338323
"64","ALPHAGEO",397.35,1123.7,815.838787878788,169.421198139709,28669.6223197767
"65","ALPSINDUS",3.8,9.95,6.18383838383838,1.2609244946129,1.58089324418272
"66","AMARAJABAT",680.85,1063.7,869.414646464646,77.361671722152,5909.07570257228
"67","AMBIKCO",758.5,1409.05,1073.56292929293,223.876371488903,50127.7671154051
"68","AMBUJACEM",186.95,288.8,241.671111111111,26.8070979364623,715.174635964912
"69","AMDIND",24.5,53.85,31.4777777777778,5.68086773386132,31.6623419928025
"70","AMRUTANJAN",378.2,772.7,540.713333333333,101.158917616591,10184.7941420378
"71","AMTEKAUTO",21.75,51.6,34.5250505050505,6.77219911982044,45.7901269987323
"72","ANANTRAJ",28.05,73.3,50.6093939393939,10.5902754853034,111.186099312968
"73","ANDHRABANK",43.35,74.2,56.0277777777778,5.40465584180261,28.6213315339631
"74","ANDHRACEMT",5.95,14.6,9.16191919191919,1.72497413978602,2.93917429354271
"75","ANDHRSUGAR",103.7,607.7,280.013131313131,123.944451076785,15355.8334866887
"76","ANGIND",5.3,55.6,15.2627272727273,11.4730263505339,132.884703901362
"77","ANIKINDS",19.7,77.6,33.0868143459916,11.3085123964583,130.856546607524
"78","ANKITMETAL",1.2,3.15,1.80238693467337,0.253117750259387,0.061197581104515
"79","ANSALAPI",13.85,32.85,20.6455555555556,4.19862499716831,17.49210739991
"80","ANSALHSG",15.9,34.1,24.0928282828283,3.65060087129032,13.0301546027072
"81","ANTGRAPHIC",0.55,1.9,1.09330628803245,0.312031472349831,0.0978352730915747
"82","APARINDS",416.1,888.45,641.957862903226,130.534716728475,16903.1421869094
"83","APCL",200.05,288.3,239.253021978022,15.9990082285702,239.316849766256
"84","APCOTEXIND",185.3,503.05,350.975858585859,80.7307021727162,6507.71758930397
"85","APLAPOLLO",562.45,2006.9,1174.30717171717,409.208412996713,167647.636048982
"86","APLLTD",480.75,687.85,581.954747474747,52.6618713589557,2746.24127143909
"87","APOLLOHOSP",985.95,1498.4,1260.39808080808,114.563974982183,12954.0767170081
"88","APOLLOTYRE",132.4,285.5,203.025651302605,39.7252315210909,1568.30719170268
"89","APOLSINHOT",181,1139.1,527.744348894349,237.331105655851,56564.9860534095
"90","APTECHT",53.2,395.85,177.657272727273,92.8490567300731,8598.62405079131
"91","ARCHIDPLY",39.65,121.95,68.8028282828283,20.9415216744463,437.810935120435
"92","ARCHIES",19.25,53.3,26.7670707070707,5.23912083758915,26.8479504457531
"93","ARCOTECH",47.7,782,326.473131313131,174.348868800219,30411.2049559359
"94","ARIES",68.25,266.2,143.208080808081,42.5072434331486,1802.00709774874
"95","ARIHANTSUP",104.3,201.6,170.09502617801,19.3622411674276,373.584009300083
"96","ARMANFIN",170.75,294.95,221.929480519481,32.0327750814215,1020.32816484037
"97","AROGRANITE",38.35,89.55,65.010202020202,12.4542003856753,153.565771878706
"98","ARROWGREEN",413.25,687.6,498.032885085575,53.9941216434533,2836.87321238734
"99","ARROWTEX",27.3,55.8,42.1114141414141,5.10199373788513,25.8835768719585
"100","ARSHIYA",16.2,115.05,49.6112121212121,23.6647079289349,557.802675683965
"101","ARSSINFRA",28.75,110.35,62.245010845987,17.6206501585711,308.414111418938
"102","ARVIND",238.65,456.5,354.486060606061,47.6572042512027,2248.08701778923
"103","ARVSMART",65.15,201.15,121.327985074627,37.4796396718586,1400.61503759293
"104","ASAHIINDIA",135.85,416.65,226.969556451613,79.273070252625,6293.96182830319
"105","ASAHISONG",111.45,367.6,241.452828282828,69.7752397419991,4880.00994570196
"106","ASAL",32.5,99.9,62.3079381443299,16.4402783412664,270.780713512823
"107","ASHAPURMIN",48.95,103.55,67.5280808080808,10.7535070709718,113.879171778514
"108","ASHIANA",117.6,243.4,167.671313131313,27.3432780320018,743.802623798716
"109","ASHIMASYN",10.25,35.75,18.5222222222222,5.93199151987028,34.9868865272155
"110","ASHOKA",127.4,255.3,179.13,26.891844292902,712.288100202429
"111","ASHOKLEY",74.7,131.2,96.6646464646465,13.370803387417,177.284710362737
"112","ASIANHOTNR",97.15,187.55,116.741987829615,15.3875296524403,231.670597604265
"113","ASIANPAINT",835.25,1256.35,1047.10636363636,117.796988290503,13773.9513974972
"114","ASIANTILES",112.55,576.35,299.220101010101,124.27292294591,15503.932315677
"115","ASIL",0.5,1.45,0.8109375,0.184106428908266,0.0339327017716535
"116","ASPINWALL",168,553,248.081640625,65.255165218094,4263.7491997797
"117","ASSAMCO",4,8.95,5.95731958762887,1.02540711070971,1.04496335307148
"118","ASTEC",177.55,678.9,461.281818181818,153.547266828601,23630.8495896209
"119","ASTRAL",341.9,845.1,528.940404040404,138.458769326757,19121.3471476915
"120","ASTRAMICRO",102.4,145.9,120.49898989899,9.74942222880127,92.1189094896332
"121","ASTRAZEN",885.55,1280.2,1026.9696969697,100.730563122987,10078.0980821372
"122","ATFL",431.45,742.5,511.392121212121,46.82961879952,2104.54298721016
"123","ATLANTA",28.3,122.15,72.4852525252525,27.2928644536979,746.247421083303
"124","ATLASCYCLE",163.15,683.05,311.635353535354,106.676644635812,11262.8420449945
"125","ATUL",1321.15,2752.7,2128.75171717172,332.227772386688,109824.812839294
"126","ATULAUTO",393.75,579.2,454.68101010101,35.6699941800891,1235.98892139001
"127","AURIONPRO",94,233.8,135.61797979798,20.9567773805451,427.71578915675
"128","AUROPHARMA",512.4,881.4,723.766164658635,65.319624576985,4187.0912381518
"129","AUSOMENT",18.35,87.45,30.1394678492239,13.339235566327,178.247114412417
"130","AUSTRAL",0.15,0.6,0.335858585858586,0.0617427919394333,0.00353535353535354
"131","AUTOAXLES",540.65,1513.2,729.40404040404,187.848093276482,34815.3371948227
"132","AUTOIND",34.2,117.65,57.9972727272727,17.361033186886,300.799383143173
"133","AUTOLITIND",42.5,107.85,58.9424242424242,9.85703155286767,96.849500368053
"134","AVANTIFEED",345.75,2888,1016.4404040404,760.443904237347,580893.712317047
"135","AVTNPL",26.45,60.45,36.689797979798,6.35350185244836,39.5940741320083
"136","AXISBANK",373.2,635.9,498.488585858586,49.2913358050434,2390.33608031734
"137","AXISCADES",112,337.5,193.304646464646,50.8158278387105,2587.6395996299
"138","AXISGOLD",2255.4,2908.95,2632.73101010101,132.785419510597,17338.7577433853
"139","AYMSYNTEX",53.65,118.35,81.6494714587738,14.5670343648305,212.245110512147
